지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm)
401,1997-01-01,-0.7,-8.3,2338,8.9,722,10
401,1997-01-02,,,,,,0
401,1997-01-03,-5.7,-8.6,422,-2,1444,0
401,1997-01-04,-3.3,,,,,0
401,1997-01-05,-1.8,-5.8,2350,1.6,1426,0
401,1997-01-06,-6.3,-7.8,937,-4.8,1638,0
401,1997-01-07,-5.2,-7.8,648,-2.8,1448,1
401,1997-01-08,-2.7,-6.6,518,1.7,1425,3
401,1997-01-09,-1.7,-6.8,721,1.8,1401,0
401,1997-01-10,-0.5,-4.2,748,3.9,1451,0
401,1997-01-11,-0.3,-4.3,710,4.5,1453,0
401,1997-01-12,0.5,-2.1,145,4.4,1341,0
401,1997-01-13,1.8,-3.5,718,6.6,1436,1
401,1997-01-14,-4.3,-6.5,848,2.8,1,0
401,1997-01-15,-3.8,-8.7,737,0.4,1521,2.5
401,1997-01-16,-0.7,-4.1,754,3.5,1420,0
401,1997-01-17,0.9,-3.3,430,4.2,1531,0
401,1997-01-18,-2.7,-4.5,744,0.7,1508,0
401,1997-01-19,-2.3,-8.1,643,3,1411,0
401,1997-01-20,0.9,-3.2,2356,5.2,1327,0
401,1997-01-21,-9.1,-11.6,857,-3.2,1,0
401,1997-01-22,-7.5,-12.2,802,-2.5,1527,0
401,1997-01-23,-4.4,-8,409,-0.8,1606,0
401,1997-01-24,-5.4,-8.1,738,-0.5,1557,0
401,1997-01-25,-1.8,-7.1,141,2.7,1609,0
401,1997-01-26,1.3,-2,751,5.9,1508,0
401,1997-01-27,1.8,-3.3,459,7,1335,0
401,1997-01-28,-1.8,-4.7,2351,3.6,55,0
401,1997-01-29,-2.8,-5.5,610,0.7,1316,0
401,1997-01-30,-2.4,-6.9,737,1.2,1540,0
401,1997-01-31,-2.7,-4.6,751,-1,1353,4
401,1997-02-01,-1.9,-5.9,747,2.7,1432,0
401,1997-02-02,-2.7,-6.3,642,1.6,1412,16
401,1997-02-03,-2.9,-7.2,746,1.8,1410,4
401,1997-02-04,-1.1,-6.3,517,4.1,1425,6
401,1997-02-05,0.6,-3.5,757,4.7,1157,0
401,1997-02-06,-0.9,-2.9,849,1.6,1552,18.5
401,1997-02-07,-0.9,-5,714,3.8,1402,0
401,1997-02-08,1,-4.8,717,7,1445,0
401,1997-02-09,2.4,-2.7,740,8.8,1520,0
401,1997-02-10,0.2,-3.2,2304,4.6,1517,0
401,1997-02-11,-2.4,-5.6,804,2.2,1617,4
401,1997-02-12,-2.2,-5,717,1.5,1533,6.5
401,1997-02-13,-0.5,-6.1,711,4.1,1451,4
401,1997-02-14,2.1,-5.2,652,7.8,1440,0
401,1997-02-15,4.7,1.6,630,9.3,1228,3.5
401,1997-02-16,-3.6,-6.6,831,1.8,1,7
401,1997-02-17,-2.1,-5.5,643,1.9,1506,4.5
401,1997-02-18,-1.9,-4.5,652,2,1520,0.5
401,1997-02-19,0.8,-5.3,642,5.9,1601,0
401,1997-02-20,4.4,0.8,528,10.5,1448,5
401,1997-02-21,0.7,-2.4,2352,3.9,1501,0
401,1997-02-22,0.5,-4.7,715,6.1,1512,0
401,1997-02-23,2.9,-3.2,510,10.6,1445,0
401,1997-02-24,6.2,-1.1,426,12.7,1345,0
401,1997-02-25,5.7,4.8,646,8.2,1,14.5
401,1997-02-26,7.2,3.5,747,12.5,1510,0
401,1997-02-27,9,3.6,558,15.7,1604,0
401,1997-02-28,6.3,3.8,2355,9.5,3,20
401,1997-03-01,3.6,0.5,637,8.2,1353,0
401,1997-03-02,1.2,-1.3,2359,5.3,1454,0
401,1997-03-03,1.6,-2.9,617,5.8,1414,0
401,1997-03-04,5.5,0.4,450,10.7,1431,0
401,1997-03-05,7.8,4.6,334,13.5,1609,0
401,1997-03-06,6.8,4.5,105,8.7,1353,16
401,1997-03-07,6.9,4.9,751,11.6,1524,0
401,1997-03-08,6.2,1,437,10.4,1439,0
401,1997-03-09,9.1,4.3,648,14.7,1447,0
401,1997-03-10,8.8,5.6,453,12.7,1453,0
401,1997-03-11,8.8,4.7,700,14.5,1529,0
401,1997-03-12,10.7,4.1,608,17.7,1548,0
401,1997-03-13,13.2,6.6,632,20.2,1420,0
401,1997-03-14,7.1,3.7,2208,12.2,644,5
401,1997-03-15,4.4,3.4,1633,6.1,1136,1
401,1997-03-16,4.8,2.6,2359,7.7,1101,0
401,1997-03-17,6.2,0.4,632,12.9,1609,0
401,1997-03-18,6.8,1.7,601,11.6,1358,3.5
401,1997-03-19,8.8,1.8,649,15.5,1540,0
401,1997-03-20,10.2,5.2,605,16.3,1501,0
401,1997-03-21,8.5,5.6,513,12.3,1441,0
401,1997-03-22,8.5,3.1,506,13.7,1427,0
401,1997-03-23,5.3,2.1,756,8.4,1707,0
401,1997-03-24,5.3,1.5,633,10.7,1409,0
401,1997-03-25,7.1,0.6,650,13.7,1516,7
401,1997-03-26,8.9,,,,,0
401,1997-03-27,9.6,3.2,542,15.8,1420,0
401,1997-03-28,11.7,5.3,531,17.9,1348,2
401,1997-03-29,8.2,3,2359,15.7,1158,5.5
401,1997-03-30,2.9,0.7,2322,7.2,1452,0
401,1997-03-31,4.8,-1.1,522,9.5,1302,0
401,1997-04-01,10.3,3,329,17.7,1443,1
401,1997-04-02,10,7.9,36,12.5,1655,20
401,1997-04-03,12.9,8.8,533,16.5,1610,0
401,1997-04-04,,,,,,0
401,1997-04-05,,,,,,1.5
401,1997-04-06,9.6,8.3,631,11.4,32,17.5
401,1997-04-07,12.1,6.8,604,19,1556,0
401,1997-04-08,12.2,8,559,17.6,1552,0
401,1997-04-09,11.1,8,548,15.2,1523,0
401,1997-04-10,10.4,5.7,616,15.7,1254,0
401,1997-04-11,11.7,6.5,620,18.1,1538,0
401,1997-04-12,12.9,7.1,550,18.6,1258,0
401,1997-04-13,14.7,7.6,506,22.8,1518,0
401,1997-04-14,15.3,10.1,455,21.1,1215,0
401,1997-04-15,14.9,10.4,423,21.4,1421,0
401,1997-04-16,12.8,9.3,536,18.2,1302,1
401,1997-04-17,10.4,8.2,622,14,1624,0
401,1997-04-18,12.8,6.5,604,18.5,1559,0
401,1997-04-19,14.3,6.7,552,20.8,1401,0
401,1997-04-20,16,8.9,608,22.9,1343,0
401,1997-04-21,16.4,11.1,431,22.7,1356,2
401,1997-04-22,14.7,9.5,616,20.7,1429,0
401,1997-04-23,15.5,10.6,600,21.3,1533,0
401,1997-04-24,14.4,10,536,19.5,1304,0
401,1997-04-25,14.2,8,611,19.9,1308,0
401,1997-04-26,14.7,8.6,449,20.9,1350,0
401,1997-04-27,15.9,7.6,600,22.7,1436,4
401,1997-04-28,16.3,10.7,615,22.2,1505,0
401,1997-04-29,15.9,13.1,817,20.1,1351,2.5
401,1997-04-30,,,,,,0
401,1997-05-01,,,,,,0
401,1997-05-02,18,10.2,504,24.1,1542,0
401,1997-05-03,21.5,18,641,28,1341,0
401,1997-05-04,16.6,14,2345,20.3,33,1.5
401,1997-05-05,19.8,13.4,401,29.5,1536,0
401,1997-05-06,18.9,16.7,347,20.5,941,3
401,1997-05-07,19.7,15.1,2355,22.1,1633,81
401,1997-05-08,12.8,10.9,2338,15.1,3,1.5
401,1997-05-09,15,8.3,530,21.6,1459,8
401,1997-05-10,16.5,11,541,22.4,1156,0
401,1997-05-11,19.5,13.3,525,26.9,1604,0
401,1997-05-12,18.5,15.8,2245,21.5,1134,36
401,1997-05-13,17,15.8,335,18.2,1751,55
401,1997-05-14,16.7,15.6,547,17.8,1845,1
401,1997-05-15,19.9,16.3,205,25.8,1536,0
401,1997-05-16,18.5,14.2,2346,22.5,1233,0
401,1997-05-17,17.7,12.7,517,24,1308,0
401,1997-05-18,18.9,13.4,433,25.9,1320,0
401,1997-05-19,16,12.8,2358,20.7,1333,5
401,1997-05-20,15.1,12.1,530,19.2,1228,0
401,1997-05-21,15.9,11.8,418,21.1,1337,0
401,1997-05-22,17.6,11.6,513,23.7,1421,0
401,1997-05-23,15.6,9.8,2346,20.2,1425,17
401,1997-05-24,14.2,10,1,18.7,1311,2.5
401,1997-05-25,17.1,10.9,507,22.6,1351,0
401,1997-05-26,18.5,13.7,436,25.5,1630,0
401,1997-05-27,19.3,14.9,556,25.7,1709,0
401,1997-05-28,18.4,16.4,546,22.1,1057,8
401,1997-05-29,17.5,16,741,19.7,1829,14
401,1997-05-30,16.6,14.2,2340,19.9,926,33.5
401,1997-05-31,20.1,14.3,1,26.7,1637,0
401,1997-06-01,19.5,14.2,2346,28.7,1311,11
401,1997-06-02,17.3,12.9,513,21.9,1404,0
401,1997-06-03,19,13.1,547,24,1539,4
401,1997-06-04,20.6,15.8,458,26.3,1613,1
401,1997-06-05,18.2,16.2,1053,21,1812,4.5
401,1997-06-06,21.7,14.5,523,29.6,1611,0
401,1997-06-07,23.7,17.6,518,30.1,1332,3.5
401,1997-06-08,23.2,20.4,521,27.4,1550,0
401,1997-06-09,22.7,20.2,630,27.8,1353,3.5
401,1997-06-10,23.2,17.7,546,29.2,1529,1.5
401,1997-06-11,23,17.8,504,30.2,1437,5
401,1997-06-12,23.2,19.1,346,28.3,1513,0
401,1997-06-13,25.3,18.4,512,31.2,1348,0
401,1997-06-14,26.3,20.2,503,32.9,1306,0
401,1997-06-15,27.4,20.2,425,35.5,1646,0
401,1997-06-16,27.1,22,523,32.8,1420,0
401,1997-06-17,27.2,20.5,523,34.5,1518,4.5
401,1997-06-18,28.7,22.1,408,36.1,1337,0
401,1997-06-19,27.3,24.6,534,32.1,1453,0
401,1997-06-20,24.1,20.3,528,26.3,1752,4
401,1997-06-21,24.8,20.8,531,30.6,1338,0
401,1997-06-22,24.2,21.5,608,27.7,1031,0
401,1997-06-23,25.7,20.6,516,32.9,1347,14.5
401,1997-06-24,26.2,20.4,538,32.3,1311,0
401,1997-06-25,22.2,20.6,2330,24.7,1,62.5
401,1997-06-26,22.8,20.8,8,26.2,1801,18
401,1997-06-27,22.8,21.2,506,24.7,1410,6
401,1997-06-28,26.4,21.5,441,32.5,1523,0
401,1997-06-29,26.6,20.4,516,33.5,1419,2
401,1997-06-30,25.9,22.3,2355,32.6,1431,2
401,1997-07-01,22.6,20.7,241,24.4,1738,125
401,1997-07-02,25.5,22.6,411,29.2,1754,0
401,1997-07-03,26,24.4,405,29.1,1419,0.5
401,1997-07-04,24.4,22.6,2355,26.5,13,11.5
401,1997-07-05,21.5,19.9,2359,24.2,1527,24.5
401,1997-07-06,20.2,19,334,23,1835,5.5
401,1997-07-07,23,18.9,342,28.4,1258,0
401,1997-07-08,24.4,20.2,501,30.6,1439,6
401,1997-07-09,24.8,21.6,431,29.2,1332,0
401,1997-07-10,27.2,21.5,522,34.1,1411,0
401,1997-07-11,26.6,23,2352,33,1442,0
401,1997-07-12,23,20.9,900,25.2,1544,1
401,1997-07-13,25.6,20.2,539,30.8,1436,0
401,1997-07-14,25.9,22.7,417,30.9,1328,0
401,1997-07-15,23.6,21.5,541,26,1744,56.5
401,1997-07-16,25.6,22.8,1025,30.5,1527,30.5
401,1997-07-17,26.8,22.9,527,32,1607,0
401,1997-07-18,27,22.9,507,31.9,1231,0
401,1997-07-19,28.1,22.9,519,34,1423,0
401,1997-07-20,28.7,24.7,502,33.3,1320,0
401,1997-07-21,28.6,26.2,237,33.1,1623,0
401,1997-07-22,29.1,25.1,407,35.2,1416,3
401,1997-07-23,30,25.7,404,35.6,1544,12.5
401,1997-07-24,31,26.8,429,37.1,1418,0
401,1997-07-25,29.9,27,403,34,1204,7
401,1997-07-26,30.6,26,448,36.9,1453,0
401,1997-07-27,29.9,26.2,439,34.1,1233,0
401,1997-07-28,29.8,26.3,352,34.3,1309,0
401,1997-07-29,29.9,26.5,538,34.7,1342,0
401,1997-07-30,29.2,24.9,1436,33.2,1125,3.5
401,1997-07-31,29.6,26.5,421,33.4,1520,0
401,1997-08-01,29.5,26.7,423,35,1444,0
401,1997-08-02,28.7,25.1,614,33.6,1346,6
401,1997-08-03,26.1,23,1220,29.7,857,29.5
401,1997-08-04,22.1,21.2,1742,24.4,1,131
401,1997-08-05,25.7,20.3,550,32.3,1355,0
401,1997-08-06,27.9,23.9,331,33.9,1333,0
401,1997-08-07,28.1,23.3,515,34.1,1400,0
401,1997-08-08,29.7,26.8,511,34.2,1409,0.5
401,1997-08-09,28.8,25.9,515,34.1,1407,0.5
401,1997-08-10,27.4,23.7,609,32.3,1338,0
401,1997-08-11,28,25.1,638,33,1136,0
401,1997-08-12,28,25,349,32.1,1509,0
401,1997-08-13,28,23,601,34.2,1537,0
401,1997-08-14,28.4,24.6,510,33.9,1547,0
401,1997-08-15,28,23.4,603,33.9,1609,0
401,1997-08-16,27.3,22.8,530,32.9,1437,0
401,1997-08-17,27.7,23,410,33.1,1558,0
401,1997-08-18,29.1,25.1,522,34,1613,0
401,1997-08-19,27.3,25.2,720,29.3,1406,1.5
401,1997-08-20,29.9,26.4,548,34.5,1348,2.5
401,1997-08-21,25.9,23.1,1601,31.6,1311,6.5
401,1997-08-22,25.6,21.5,448,30.6,1414,0
401,1997-08-23,25.8,22,639,30.9,1419,0
401,1997-08-24,27.6,22.9,606,32.3,1430,0
401,1997-08-25,27.6,24.5,327,32.6,1323,0
401,1997-08-26,27,23.8,547,31.5,1143,0
401,1997-08-27,27.1,23.7,502,31.9,1422,0
401,1997-08-28,26.8,22.6,618,32.2,1412,0
401,1997-08-29,26.8,23.7,518,32.2,1337,0
401,1997-08-30,27.2,24.8,515,31.1,1552,0
401,1997-08-31,28.4,26,133,32,1316,0
401,1997-09-01,28.7,26.1,429,33.1,1344,0
401,1997-09-02,24.4,21.2,2353,27.7,57,36
401,1997-09-03,23.9,20.2,211,29.1,1343,0
401,1997-09-04,24.4,19.8,626,29.9,1436,0
401,1997-09-05,25.1,20.2,505,31.2,1451,0
401,1997-09-06,26.3,21.3,621,33,1342,2
401,1997-09-07,26.1,21,558,32.9,1445,0
401,1997-09-08,25.4,20.6,516,32,1355,0
401,1997-09-09,25,20.4,344,29.1,1415,0
401,1997-09-10,24,21,2350,28,1149,2.5
401,1997-09-11,23.3,19.3,631,28.6,1355,0
401,1997-09-12,21.6,19.7,616,23.7,1631,0
401,1997-09-13,19.7,18.1,525,21.6,1706,2
401,1997-09-14,20,17.2,531,24.8,1457,0
401,1997-09-15,19.9,16.3,530,24.3,1500,0
401,1997-09-16,18.8,15.5,611,22.2,1531,0.5
401,1997-09-17,20.7,15.7,608,25.9,1447,0
401,1997-09-18,18.6,14.7,530,24.2,1334,0
401,1997-09-19,18.5,12.7,554,24.7,1617,0
401,1997-09-20,18,13.9,513,24.3,1140,0
401,1997-09-21,16.9,12.6,642,22.7,1525,0
401,1997-09-22,18.7,12.5,617,24.8,1504,0
401,1997-09-23,19.2,14.1,542,25.6,1353,0
401,1997-09-24,18.7,13.9,632,24.3,1336,0
401,1997-09-25,15.9,14.5,1857,18.3,1,11
401,1997-09-26,15.5,13.5,1443,20.3,1159,17.5
401,1997-09-27,17,12.8,535,21.6,1432,0
401,1997-09-28,17,12.3,622,22.9,1411,0
401,1997-09-29,17.8,12,547,24.2,1346,0
401,1997-09-30,18.9,13.1,545,26.2,1433,4
401,1997-10-01,19.2,14,559,26.7,1424,0
401,1997-10-02,19.8,14.2,629,27,1443,0
401,1997-10-03,19.7,14.6,629,26.2,1340,0
401,1997-10-04,17.4,14.7,2343,20.3,1148,0
401,1997-10-05,16.9,12.4,603,22.9,1335,0
401,1997-10-06,,,,,,0
401,1997-10-07,,,,,,0
401,1997-10-08,,,,,,0
401,1997-10-09,,,,,,0
401,1997-10-10,16.9,,,,,0
401,1997-10-11,12.5,9.2,2356,16.9,1316,0
401,1997-10-12,10.6,6.6,647,15.7,1517,0
401,1997-10-13,13.7,5.8,404,20.3,1512,0.5
401,1997-10-14,15.3,12.6,2320,19.1,1528,0
401,1997-10-15,13.9,8,619,20.7,1326,0
401,1997-10-16,15.6,8.5,636,22.6,1305,0
401,1997-10-17,17.6,15.3,116,22,1220,15.5
401,1997-10-18,15.2,11.2,2357,21.7,1422,0
401,1997-10-19,16.5,8.6,624,23.6,1436,0
401,1997-10-20,19.8,14.2,603,26.5,1435,0
401,1997-10-21,19.5,14.2,2330,24,1252,0
401,1997-10-22,16.1,9.8,626,22.5,1253,0
401,1997-10-23,17.7,11,416,24.4,1342,0
401,1997-10-24,12.1,6.6,0,18.7,3,0
401,1997-10-25,8,5.2,658,11.9,1141,0
401,1997-10-26,8.6,5.1,556,13,1329,0
401,1997-10-27,8.3,5,523,13.1,1456,0
401,1997-10-28,8.8,3.7,600,12.7,1532,0
401,1997-10-29,9.2,6.6,2340,14.7,1233,6.5
401,1997-10-30,4.6,1.8,2352,8,1505,0.5
401,1997-10-31,,,,,,0
401,1997-12-06,,,,,,23
401,1997-12-07,6.6,5.7,1221,8,317,11.5
401,1997-12-08,2.1,-1.4,2206,6.1,1,5.5
401,1997-12-09,-3.2,-7,0,-0.3,1251,0
401,1997-12-10,-6.5,-10,701,-3.6,1407,0
401,1997-12-11,-3.5,-6.1,2345,-1,1244,1.5
401,1997-12-12,-2.4,-8,409,1.6,1454,0
401,1997-12-13,0,-3.7,738,4.6,1522,0
401,1997-12-14,2.8,-1.9,332,6.5,2227,3
401,1997-12-15,3.7,1,804,7.5,1444,0
401,1997-12-16,2.6,-0.8,732,5.9,1410,0
401,1997-12-17,5.3,2.6,306,8.2,1316,0
401,1997-12-18,8.1,5.6,8,9.8,1443,7
401,1997-12-19,10.5,7.1,456,14.5,1408,0
401,1997-12-20,6.8,4.3,2355,10.6,4,0
401,1997-12-21,6.4,2.6,654,10.9,1419,0
401,1997-12-22,6.9,4.4,427,10.4,1312,0
401,1997-12-23,6.8,3.7,628,12.2,1423,0
401,1997-12-24,5.8,2.8,712,11,1345,0
401,1997-12-25,5.4,1.2,612,11.5,1456,0
401,1997-12-26,5.2,0.6,724,11.2,1324,0
401,1997-12-27,4.9,2.3,2358,8.2,1350,0.5
401,1997-12-28,1.9,-1.1,738,6.4,1403,0
401,1997-12-29,0.4,-3.7,736,3.7,1352,0
401,1997-12-30,1.8,-2.1,623,7,1410,0
401,1997-12-31,2,-3.1,717,7.1,1426,0
401,1998-01-01,2.5,0,2335,5.2,1531,0.5
401,1998-01-02,3.5,-0.9,325,8,1437,0
401,1998-01-03,5.8,2.7,739,9.5,1342,0
401,1998-01-04,-4.8,-7.3,757,3.1,1,0.5
401,1998-01-05,-0.6,-5.9,151,4.3,1432,0
401,1998-01-06,-0.5,-2.8,530,2.7,1258,0
401,1998-01-07,1.3,-3.1,643,5.4,1437,0
401,1998-01-08,2.3,0.1,639,5,1946,3.5
401,1998-01-09,2,-1.3,649,7.8,1318,0
401,1998-01-10,3.4,0.3,217,7.1,1342,0
401,1998-01-11,4.5,2.7,205,7.2,1415,0
401,1998-01-12,2.2,0.7,740,4.9,1220,0
401,1998-01-13,2.6,-0.6,539,7.3,1409,0
401,1998-01-14,3.3,-0.7,620,6.7,1616,0
401,1998-01-15,2.1,1,2342,4.2,1519,0
401,1998-01-16,2.4,-0.7,656,6.9,1521,0
401,1998-01-17,3.5,1.6,2358,7.4,1323,0
401,1998-01-18,-6.7,-10.5,2354,1.8,5,0
401,1998-01-19,-8.9,-12.6,601,-5,1556,0
401,1998-01-20,-3.2,-8.2,151,1.2,1248,0.5
401,1998-01-21,-4.1,-6.6,709,-1.1,1613,0
401,1998-01-22,-1,,,,,0
401,1998-01-23,-6.3,-10.8,2358,-2.3,1434,0
401,1998-01-24,-10.8,-14.6,753,-7.1,1601,0
401,1998-01-25,-5.9,-11.3,701,-1,1535,0
401,1998-01-26,-2.1,-4.5,817,1.5,1431,0
401,1998-01-27,-2.5,-6.4,652,1.6,1458,0
401,1998-01-28,-3.8,-6.5,809,1,1458,0
401,1998-01-29,-2.2,-9.1,749,3.8,1436,0
401,1998-01-30,2.7,-0.2,206,6.6,1435,0
401,1998-01-31,-0.6,-3.3,749,3.2,1541,0
401,1998-02-01,-1,-4.4,505,3.7,1533,0
401,1998-02-02,0.7,-4.5,650,6,1502,0
401,1998-02-03,1.7,-1.1,231,5.7,1544,0
401,1998-02-04,0.1,-3.1,732,5.2,1419,0
401,1998-02-05,0.6,-4.7,824,6.4,1540,0
401,1998-02-06,3.7,0.2,542,8.6,1432,0
401,1998-02-07,2.8,-0.2,2245,7.6,1121,2
401,1998-02-08,-2.7,-4.7,0,0.6,1435,0
401,1998-02-09,-3.9,-6.7,620,-0.9,1254,4.5
401,1998-02-10,-2,-6.4,706,4,1450,0.5
401,1998-02-11,2.9,-3.7,537,10.1,2307,1.5
401,1998-02-12,8.2,4.4,2358,12.1,1346,6
401,1998-02-13,3.9,1.7,2341,6.3,1346,7
401,1998-02-14,2.8,-0.5,746,5.9,1630,0
401,1998-02-15,2.9,0.4,554,7.3,1509,0
401,1998-02-16,3.4,-1.3,658,8.7,1538,0
401,1998-02-17,5.3,0.1,705,11.3,1617,0
401,1998-02-18,7.2,2.3,639,12.4,1439,0
401,1998-02-19,9.8,5.6,459,15.6,1312,3
401,1998-02-20,10.1,7.5,2356,13.4,1157,2
401,1998-02-21,4.6,2,2332,7.5,1,1
401,1998-02-22,5.8,-0.6,645,13,1604,0
401,1998-02-23,7.6,2.7,659,13.8,1604,0
401,1998-02-24,7.7,5.2,335,10.5,1426,0
401,1998-02-25,9.4,5.1,440,16.4,1452,0
401,1998-02-26,7.4,2.6,625,12.6,1352,0
401,1998-02-27,5.4,4.1,1053,6.4,1,3.5
401,1998-02-28,5.5,3,731,8.9,1623,0
401,1998-03-01,5.8,1.1,701,11.8,1523,0
401,1998-03-02,6.1,0.5,433,12.1,1538,0
401,1998-03-03,6.6,1.7,641,13.8,1431,0
401,1998-03-04,9.2,2.1,535,16.3,1515,0
401,1998-03-05,10.2,5.2,703,15.7,1517,0
401,1998-03-06,9.4,6.7,2359,14.8,1524,0
401,1998-03-07,9.5,4.5,413,15.2,1511,0
401,1998-03-08,9.4,3.6,650,15,1436,0
401,1998-03-09,10.4,5.4,706,16.5,1557,0
401,1998-03-10,7.9,5.7,2350,12.3,1605,0
401,1998-03-11,5.8,4.6,206,7,1538,3
401,1998-03-12,6.8,3,657,11.4,1524,0.5
401,1998-03-13,8.6,3.3,652,15.8,1417,0
401,1998-03-14,5,0.8,2246,10.2,1241,0
401,1998-03-15,3.5,-0.5,641,8.3,1336,0
401,1998-03-16,6,0.7,606,11.3,1607,0
401,1998-03-17,8.3,2.3,646,14.5,1512,0
401,1998-03-18,12,4.6,329,18.6,1320,0
401,1998-03-19,9.5,1.4,2357,14.4,410,38.5
401,1998-03-20,0.3,-2.1,726,3,1528,0
401,1998-03-21,2.1,-0.7,58,6,1519,0
401,1998-03-22,2.8,-0.4,336,6.4,1607,0
401,1998-03-23,5.3,1.1,618,10.3,1438,0
401,1998-03-24,7.5,2,640,13.1,1449,0
401,1998-03-25,9.7,5.6,506,15.7,1439,0
401,1998-03-26,,,,,,
401,1998-03-27,8.8,6.8,642,13.5,1342,0
401,1998-03-28,10.7,4.6,517,17.7,1600,0
401,1998-03-29,13.2,7.3,453,21.1,1342,0
401,1998-03-30,12.1,9.8,2353,16.6,1244,0
401,1998-03-31,13.1,7.7,705,18.3,1425,0
401,1998-04-01,6.6,4.3,2147,13.9,131,28
401,1998-04-02,7,3.8,145,11.8,1323,0
401,1998-04-03,8.7,3.2,631,14.8,1425,0
401,1998-04-04,11.3,3.9,614,18.6,1526,0
401,1998-04-05,11.6,8.2,658,14.1,2339,25.5
401,1998-04-06,17.9,10.8,536,24.7,1537,0
401,1998-04-07,17.1,12,559,22.1,1132,0
401,1998-04-08,16.9,13.2,646,21.8,1424,1
401,1998-04-09,16.6,13.1,2353,21.9,1447,0
401,1998-04-10,15.4,12.5,339,20.7,1549,0
401,1998-04-11,17.9,10.7,713,26.7,1626,0
401,1998-04-12,17,13.2,2340,21.8,1523,18.5
401,1998-04-13,15.4,12.1,356,21.5,1414,3
401,1998-04-14,14.9,11.3,439,20.3,1433,0
401,1998-04-15,14.3,11.1,834,19.3,1641,0
401,1998-04-16,16.2,10,530,21.7,1309,0
401,1998-04-17,16.4,12.7,0,20.6,1407,19
401,1998-04-18,15.6,10.2,621,21.6,1438,0
401,1998-04-19,17.4,10.5,423,24.5,1502,0
401,1998-04-20,20,13.5,435,26,1415,0
401,1998-04-21,21.5,16.9,620,26,1521,0
401,1998-04-22,21,18,511,25.7,1152,10
401,1998-04-23,21.4,18.4,334,25.7,1424,1.5
401,1998-04-24,17.3,13,0,22.4,957,5
401,1998-04-25,15,12.7,212,19.3,1519,0.5
401,1998-04-26,15,12,540,19.8,1244,0.5
401,1998-04-27,18.4,12.5,526,24.7,1618,0
401,1998-04-28,20,14.6,532,26.9,1332,0
401,1998-04-29,19.5,16.8,144,25.2,1349,0
401,1998-04-30,21.6,16.5,524,28.1,1335,0
401,1998-05-01,19.6,14.6,849,23,2146,0
401,1998-05-02,17.1,12.2,2358,22.5,4,54.5
401,1998-05-03,17.9,11.9,231,24.4,1659,0.5
401,1998-05-04,19.5,13.1,507,26.1,1545,0
401,1998-05-05,20.9,14.1,551,26.9,1453,0
401,1998-05-06,21.3,14.2,541,28.3,1319,0
401,1998-05-07,18.9,16.8,317,21.6,1152,0
401,1998-05-08,18.9,15.3,318,23.7,1621,0.5
401,1998-05-09,18.3,11.9,618,24,1319,0
401,1998-05-10,17.7,14.5,620,21.9,1546,0
401,1998-05-11,14.1,10.9,925,17.4,49,9
401,1998-05-12,13.5,12.2,204,16.2,1452,7.5
401,1998-05-13,17.1,12.1,514,23.9,1451,0
401,1998-05-14,20.9,12.8,448,28.3,1453,0
401,1998-05-15,23.6,17,540,29.6,1621,0
401,1998-05-16,16.1,13,919,22.2,102,18.5
401,1998-05-17,16.8,13.5,352,21,1354,0.5
401,1998-05-18,18.8,15.8,257,22.9,1414,0
401,1998-05-19,20.5,14.1,611,27.1,1532,0
401,1998-05-20,22.6,16.1,519,28.6,1548,0
401,1998-05-21,25,17.5,529,33.4,1512,0
401,1998-05-22,24.4,19.8,522,30.4,1346,0
401,1998-05-23,25.4,20.9,610,30.8,1241,0
401,1998-05-24,20.5,16.9,2354,24,29,0
401,1998-05-25,19.5,15,417,24.9,1656,0
401,1998-05-26,19.7,12.7,500,25.3,1256,0
401,1998-05-27,21.2,12.9,509,28.5,1355,0
401,1998-05-28,21.3,16.7,550,28.6,1257,0
401,1998-05-29,19.7,16.8,336,23.1,1809,0
401,1998-05-30,19,15.3,532,25.1,1435,0
401,1998-05-31,19.6,12.5,534,25.8,1206,0
401,1998-06-01,19.5,15.3,527,24.6,1305,0
401,1998-06-02,16.8,15.1,453,18.5,902,16.5
401,1998-06-03,15.7,14.4,1352,17.5,121,8.5
401,1998-06-04,15.6,12.8,357,17.7,1417,0.5
401,1998-06-05,15.9,14,743,17.1,1636,1.5
401,1998-06-06,18.5,14.8,544,23.1,1709,0
401,1998-06-07,19.8,14.8,313,25.8,1317,0
401,1998-06-08,19.8,15.9,335,24.9,1214,0
401,1998-06-09,23.2,16.7,436,29.5,1716,0
401,1998-06-10,24.5,20.5,619,29.7,1434,0
401,1998-06-11,24.3,19,516,29.9,1254,0
401,1998-06-12,25.1,19.7,550,30,1425,0
401,1998-06-13,19.6,18,2344,24.4,1,9
401,1998-06-14,,,,,,
401,1998-06-15,21.9,17,541,27.3,1107,0
401,1998-06-16,23,17.6,424,29,1525,0
401,1998-06-17,25.6,19.5,531,31.6,1525,0
401,1998-06-18,24.2,21.6,2344,28.4,1513,0
401,1998-06-19,21.5,19.2,613,26.4,1422,7.5
401,1998-06-20,24.5,18.8,452,31.3,1558,0
401,1998-06-21,26.1,22.1,453,31.8,1423,0
